Hour of Day,Total_Transactions,Fraud_Transactions,Fraud_Loss,Fraud_Rate_%
0,7695,6,1820.07,0.07797270955165692
1,4220,10,1279.3200000000002,0.23696682464454977
2,3328,57,4517.980000000001,1.7127403846153848
3,3492,17,233.90999999999997,0.4868270332187858
4,2209,23,1548.2,1.041195110909914
5,2990,11,1416.67,0.36789297658862874
6,4101,9,1007.32,0.21945866861741037
7,7243,23,2757.779999999999,0.3175479773574486
8,10276,9,430.99,0.08758271701050993
9,15838,16,1255.4099999999999,0.10102285642126531
10,16598,8,2349.61,0.04819857814194481
11,16856,53,6570.7300000000005,0.3144280968201234
12,15420,17,3406.54,0.11024643320363164
13,15365,17,2194.48,0.11064106736088514
14,16570,23,3641.1200000000003,0.1388050694025347
15,16461,26,2234.09,0.15794909179272218
16,16453,22,4505.449999999999,0.1337142162523552
17,16166,29,3373.5,0.17938884077693926
18,17039,33,6345.139999999999,0.19367333763718528
19,15649,19,2114.63,0.12141350885040576
20,16756,18,1510.41,0.10742420625447602
21,17703,16,1029.5,0.09038016155453878
22,15441,9,1442.0,0.05828638041577618
23,10938,21,3143.1200000000003,0.19199122325836532
