Time,Day,Hour of Day,Amount,Fraud Label
122608.0,2,10,2125.87,Fraud
9064.0,1,2,1809.68,Fraud
154278.0,2,18,1504.93,Fraud
62467.0,1,17,1402.16,Fraud
59011.0,1,16,1389.56,Fraud
65385.0,1,18,1354.25,Fraud
133184.0,2,12,1335.0,Fraud
18088.0,1,5,1218.89,Fraud
154309.0,2,18,1096.99,Fraud
147501.0,2,16,996.27,Fraud
134769.0,2,13,925.31,Fraud
87883.0,2,0,829.41,Fraud
70536.0,1,19,824.83,Fraud
41743.0,1,11,802.52,Fraud
39729.0,1,11,776.83,Fraud
17838.0,1,4,766.36,Fraud
28242.0,1,7,730.86,Fraud
138942.0,2,14,727.91,Fraud
139951.0,2,14,723.21,Fraud
131024.0,2,12,723.21,Fraud
